Archivo PDF,ORCIDs Totales,ORCIDs CECAN,Autores CECAN,Todos los ORCIDs
16- Effects_of_Internet_based_telemonitoring_PlosOne_2023.pdf,1,,,0000-0002-9857-8403
06- A_novel_gemcitabine-resistant__IJMS_2023.pdf,5,,,"0000-0002-3817-4896, 0000-0001-8313-8774, 0000-0003-3148-4143, 0000-0002-4009-4406, 0000-0003-0120-5684"
01- Appagalo_a_Customized_mobile_Tobacco_use_2023.pdf,1,,,0000-0002-7043-6833
11- Influence_of_SARS_Vaccines2023.pdf,6,,,"0000-0002-4712-3302, 0000-0001-7622-5263, 0000-0003-2314-5360, 0000-0002-2836-9817, 0000-0002-7551-8088, 0000-0002-3016-7261"
17- Advances_towards_the_use_of_organoids_2023.pdf,1,,,0000-0002-5379-6191
05- High_burden.pdf,1,,,0000-0001-8075-0626
08- Body_Composition_Cancer_2023.pdf,3,,,"0000-0002-6582-7733, 0000-0003-2812-0015, 0000-0001-6889-976X"
15- Design_of_an_Electronic_Health_Record_IEEE_2023.pdf,4,,,"0000-0002-3628-7053, 0000-0001-8318-4201, 0000-0003-0167-5969, 0000-0001-6527-6292"
07- Long_Non_Coding_RNA_IJMS_2023.pdf,3,,,"0000-0002-3429-3089, 0000-0002-4009-4406, 0000-0001-8313-8774"
09- diagnostics-13-02559.pdf,5,,,"0000-0001-8313-8774, 0000-0002-8809-5846, 0000-0003-2747-1366, 0000-0002-6656-8227, 0009-0002-1799-1632"
10- HIF_HP__Peek_JCROA.pdf,2,,,"0000-0002-3497-0676, 0000-0002-2114-6303"
30- Immune profiling of gastric adenocarciomas Bristish J Cancer Owen G y col (2025).pdf,12,,,"0000-0001-5247-840X, 0000-0001-8313-8774, 0000-0002-1964-1006, 0000-0003-3806-3691, 0000-0002-4547-7457, 0000-0002-2789-9082, 0000-0002-9473-0391, 0000-0001-8591-9339, 0000-0001-5997-318X, 0000-0002-0446-123X, 0009-0004-7749-929X, 0000-0002-7394-5123"
"39- Association between demographic, clinical characteristics and- C Bambs (2024).pdf",3,,,"0000-0002-9315-4871, 0000-0002-9256-1256, 0009-0003-7948-4000"
45- Gastric remnant cancer_Rev Gastroterol Perú..pdf,9,,,"0009-0004-3022-8599, 0000-0003-3846-8445, 0000-0002-9830-1383, 0000-0003-4858-9400, 0009-0000-2311-8747, 0000-0002-6825-9014, 0000-0001-5114-6083, 0000-0002-8259-8960, 0009-0005-0303-5828"
55- Intl J Gynecology   Obste - 2025 - Cuello - Global determinants of gynecologic cancer incidence and mortality  A.pdf,1,,,0000-0003-2812-0015
11- Accurate prognostic awareness is associated with_ PRepetto (2025).pdf,3,,,"0000-0001-6450-971X, 0000-0001-6265-6919, 0000-0002-0331-7375"
50- Basic-Clinical analysis - biomedicines-HContreras (2025)NF.pdf,2,,,"0009-0001-3621-6394, 0000-0003-4012-2662"
59- The mutational landscape KMarcelain (2025).pdf,1,,,0000-0001-9505-4965
47- Chilean-biobanks-a-snapshot-of-_251008_191847 (2025).pdf,1,,,1728-8800-2022-3380
56- Intl J Gynecology   Obste - 2025 - Cuello - Re‐evaluating prognostic indicators  The critical role of body composition and.pdf,1,,,0000-0003-2812-0015
06- Understanding micro RNA-ijms-26-01168 JGonzález (2025).pdf,3,,,"0000-0003-4018-6623, 0000-0003-4012-2662, 0000-0003-0324-2948"
09- Sociodemographic political and policy context cancer (2025).pdf,3,,,"0000-0003-1961-6895, 0000-0003-3094-1330, 0000-0002-4616-7944"
57- Convalescent plasma COVID (2025).pdf,3,,,"0000-0002-9361-4049, 0000-0002-2836-9817, 0009-0005-2989-0275"
46- Inequities in breast cancer outcomes in Chile- SMondschein (2025).pdf,1,,,0000-0002-8476-0204
40- Use of Guideline C Bambs (2024).pdf,2,,,"0000-0003-2211-145X, 0000-0002-4577-0530"
19- Implementation of an educational intervention for Gastric Cancer (2025).pdf,1,,,0000-0002-2789-9082
04- Perceived barriers to reaching equity- Báltica Cabieses (2025).pdf,1,,,0000-0002-3525-011X
08- Patient Derived organoid models for NKT Cell- cancers (2025)-.pdf,4,,,"0000-0002-3896-146X, 0000-0003-4261-2243, 0000-0003-4012-2662, 0009-0006-9502-6466"
52- Are we ready (2025).pdf,2,,,"0000-0002-5274-6336, 0000-0002-2493-9974"
43- OncovigIA Peña JCO CCI 2025.pdf,6,,,"0000-0002-6351-1065, 0000-0003-1038-5488, 0009-0009-4114-9251, 0009-0008-3233-8117, 0009-0005-4319-9149, 0000-0002-3016-7261"
27- The challenges of CA Survivorship BMJ 2025.pdf,3,,,"0000-0002-5274-6336, 0000-0002-1362-1311, 0000-0002-2493-9974"
02- A snapshot of cancer in Chile II (2024).pdf,1,,,0000-0003-3807-6054
24- Towards Personalized Precision Oncology KMarcelain (2025).pdf,5,,,"0009-0007-3571-8556, 0009-0000-8181-6746, 0000-0003-4018-6623, 0000-0001-6974-7004, 0000-0002-7813-1380"
29- Data resource profile- JLorenzo (2025).pdf,4,,,"0000-0003-4311-6890, 0000-0003-3023-1822, 0000-0003-4430-296X, 0000-0002-6568-5333"
21- Helicobacter pylori and Colorectal Cancer- AR (2025).pdf,1,,,0000-0003-2735-2922
15- Assesing the alignment of chilena food-healthcare-SLópez (2025).pdf,5,,,"0000-0002-7732-2580, 0000-0002-8443-7327, 0000-0002-3990-0538, 0000-0002-5798-7091, 0000-0002-4312-1318"
58- OLGA and OLGIM (2025).pdf,2,,,"0000-0003-3509-971X, 0000-0003-2083-1840"
17- Exploring the characteristics of cance-r BCabieses (2025).pdf,3,,,"0000-0003-1720-1354, 0000-0002-7412-4159, 0000-0003-0756-1954"
14- Spiritual care for prevention of psychological - P Repetto (2025).pdf,2,,,"0000-0002-0930-4452, 0000-0002-0331-7375"
25- Oxidative Stress- Antioxidants-14-00759 U Urzua_A Marin_E Castellon (2025).pdf,3,,,"0000-0003-0522-5754, 0000-0003-3819-0973, 0000-0002-3770-8550"
42- Helicobacter pylori antibiotic resistance_Nolo (2025).pdf,18,,,"0000-0002-2135-7581, 0000-0003-1841-1337, 0000-0002-7979-2981, 0000-0002-0011-3924, 0000-0002-3127-6048, 0000-0002-8259-8960, 0000-0002-8490-9822, 0000-0001-9110-3950, 0000-0003-2163-1189, 0000-0002-7945-5408, 0000-0003-1281-5859, 0000-0002-1222-5819, 0000-0002-8578-2974, 0000-0003-2090-3445, 0000-0001-8439-9036, 0009-0007-3477-2526, 0000-0002-4841-9404, 0000-0003-0141-921X"
51- Retrospective study Medwave_(2024).pdf,10,,,"0009-0007-6483-330X, 0009-0000-7801-3811, 0009-0007-5051-8720, 0000-0001-8075-0626, 0000-0002-6341-1865, 0000-0003-3661-9123, 0000-0001-8968-8144, 0000-0003-3482-7746, 0000-0001-7512-6474, 0009-0007-1580-9872"
05- Comprehensive histopathological analysys of gastric cancer (2024).pdf,1,,,0000-0002-2789-9082
03- Inbreeding and Gallbladder Cancer Risk Cancers K Marcelain 2024 Dic.pdf,16,,,"0000-0002-6492-2739, 0000-0001-7051-0362, 0000-0003-0583-5093, 0000-0003-4018-6623, 0000-0003-4430-296X, 0000-0002-0587-7624, 0000-0002-3016-7261, 0000-0001-9911-7142, 0000-0001-9505-4965, 0009-0006-8231-2682, 0000-0001-7113-7387, 0000-0002-6568-5333, 0000-0002-7876-0419, 0000-0002-8684-9675, 0000-0003-1022-2865, 0000-0002-7851-9692"
36- Caract de la demanda expresada y efectiva serv oncol Medwave (2025)pdf.pdf,7,,,"0000-0003-1162-4591, 0000-0002-4219-2376, 0000-0003-3550-9117, 0009-0008-6158-3488, 0000-0002-4921-518X, 0000-0003-2254-1134, 0000-0002-0503-3819"
01- Mas alla de la fisiologia Sofia Bowen (2025).pdf,2,,,"0009-0008-5700-675X, 0000-0001-9343-1552"
12- UEG Journal - 2024- Quadruple therapies show a higher eradication rate ARiquelme.pdf,8,,,"0000-0003-0614-0576, 0000-0003-3784-1463, 0000-0002-2789-9082, 0000-0002-0446-123X, 0000-0002-8259-8960, 0000-0002-4920-9310, 0000-0001-6371-3516, 0000-0001-8031-8358"
